3.038 44.94
4.54 44.94
6.044 44.94
7.57 44.94
9.071 44.94
10.593 44.94
12.099 44.94
13.616 44.94
15.112 44.94
16.637 44.94
18.142 44.94
19.655 44.94
21.156 44.94
22.683 44.94
24.184 44.94
25.703 44.94
27.208 44.94
28.721 44.94
30.229 44.94
31.734 44.94
33.246 44.94
34.756 44.94
36.272 44.94
37.777 44.94
39.295 44.94
40.797 44.94
42.316 44.94
43.819 44.94
45.34 44.94
46.843 44.94
48.36 44.94
49.871 44.94
51.389 44.94
52.886 44.94
54.403 44.94
55.909 44.94
57.412 44.94
58.932 44.94
60.439 44.94
61.954 44.94
63.462 44.94
64.975 44.94
66.483 44.94
68.003 44.94
69.509 44.94
71.02 44.94
72.527 44.94
74.05 44.94
75.551 44.94
77.065 44.94
78.571 44.88
80.093 44.94
81.593 44.94
83.098 44.88
84.615 44.94
86.125 44.88
88.036 44.94
89.146 44.94
90.668 44.88 130.75 
92.168 44.94 118.30 
93.681 44.94 118.32 
95.193 44.94 118.34 
96.709 44.94 118.37 
98.217 44.94 118.39 
99.729 44.94 118.41 
101.235 44.94 118.44 
102.433 :K200.00
102.753 44.94 118.46 
104.254 44.94 118.48 
105.756 44.94 118.51 
107.283 44.94 118.53 
108.788 44.94 118.55 
109.945 :Ti500.00
110.306 44.94 182.23 
111.802 44.94 182.26 
113.327 44.94 182.30 
114.831 44.94 182.34 
116.349 44.94 182.38 
117.853 44.94 182.41 
119.365 44.94 182.45 
120.874 44.94 182.49 
122.388 44.94 182.53 
123.893 44.94 182.56 
125.415 44.94 182.60 
126.914 44.94 182.64 
128.439 44.94 182.68 
129.941 44.94 182.71 
131.459 44.94 182.75 
132.965 44.94 182.79 
134.463 45.00 170.33 
135.984 45.00 170.33 
137.494 45.00 170.33 
139.01 45.00 170.33 
140.516 45.00 170.33 
142.033 45.00 170.33 
143.537 45.00 170.33 
145.056 45.00 170.33 
146.559 45.00 170.33 
148.079 45.00 170.33 
149.583 45.00 170.33 
151.097 45.00 170.33 
152.603 45.00 170.33 
154.122 45.00 170.33 
155.626 45.00 170.33 
157.13 45.06 157.83 
158.648 45.06 157.79 
160.154 45.06 157.75 
161.67 45.06 157.71 
163.173 45.06 157.68 
164.689 45.06 157.64 
166.195 45.06 157.60 
167.716 45.06 157.56 
169.219 45.06 157.53 
170.734 45.06 157.49 
172.239 45.13 144.95 
173.754 45.13 144.88 
175.264 45.06 157.30 
176.778 45.13 144.76 
178.284 45.06 157.19 
179.804 45.13 144.65 
181.306 45.13 144.58 
182.809 45.13 144.50 
184.329 45.13 144.43 
185.839 45.13 144.35 
187.353 45.13 144.28 
188.854 45.13 144.20 
190.372 45.13 144.13 
191.879 45.13 144.05 
193.399 45.13 143.98 
194.898 45.13 143.90 
196.415 45.13 143.83 
197.919 45.13 143.75 
199.439 45.13 143.68 
200.949 45.13 143.60 
202.459 45.13 143.53 
203.97 45.13 143.45 
205.49 45.19 130.88 
206.987 45.19 130.76 
208.495 45.13 143.15 
210.009 45.19 130.58 
211.517 45.19 130.46 
213.04 45.19 130.35 
214.538 45.19 130.24 
216.06 45.19 130.13 
217.56 45.19 130.01 
219.085 45.19 129.90 
220.59 45.19 129.79 
222.105 45.19 129.68 
223.604 45.19 129.56 
225.127 45.19 129.45 
226.628 45.19 129.34 
228.149 45.19 129.23 
229.648 45.19 129.11 
231.168 45.19 129.00 
232.671 45.19 128.89 
234.174 45.19 128.78 
235.702 45.19 128.66 
237.206 45.19 128.55 
238.725 45.19 128.44 
240.218 45.19 128.33 
241.746 45.19 128.21 
243.25 45.25 115.60 
244.763 45.25 115.45 
246.273 45.25 115.30 
247.79 45.25 115.15 
249.294 45.25 115.00 
250.807 45.25 114.85 
252.317 45.19 127.20 
253.828 45.25 114.59 
255.331 45.25 114.44 
256.841 45.25 114.29 
258.361 45.25 114.14 
259.86 45.25 113.99 
261.381 45.25 113.84 
262.885 45.25 113.69 
264.401 45.25 113.54 
265.91 45.25 113.39 
267.426 45.25 113.24 
268.931 45.25 113.09 
270.448 45.25 112.94 
271.954 45.19 125.29 
273.474 45.25 112.68 
274.973 45.19 125.03 
275.234 :Ti800.00
276.489 45.19 64.01 
277.995 45.19 63.94 
279.513 45.19 63.87 
281.016 45.19 63.80 
282.534 45.19 63.73 
284.043 45.19 63.66 
285.55 45.19 63.59 
287.069 45.19 63.52 
288.57 45.19 63.45 
290.086 45.19 63.38 
291.591 45.19 63.30 
293.113 45.19 63.23 
294.615 45.19 63.16 
296.134 45.13 75.59 
297.639 45.19 63.05 
299.151 45.19 62.98 
300.659 45.13 75.41 
302.174 45.13 75.36 
303.683 45.13 75.31 
305.195 45.13 75.27 
306.704 45.13 75.22 
308.208 45.13 75.17 
309.728 45.13 75.12 
311.23 45.13 75.08 
312.747 45.13 75.03 
314.251 45.13 74.98 
315.769 45.13 74.94 
317.274 45.06 87.39 
318.791 45.06 87.37 
320.295 45.06 87.34 
321.819 45.06 87.32 
323.32 45.06 87.30 
324.841 45.06 87.27 
326.34 45.06 87.25 
327.861 45.06 87.23 
329.364 45.06 87.20 
330.866 45.06 87.18 
332.383 45.06 87.16 
333.89 45.06 87.13 
335.408 45.00 99.61 
336.909 45.00 99.61 
338.429 45.00 99.61 
339.939 45.00 99.61 
341.458 45.00 99.61 
342.958 45.00 99.61 
344.472 45.00 99.61 
345.984 45.00 99.61 
347.495 45.00 99.61 
349.001 44.94 112.11 
350.525 44.94 112.13 
352.023 44.94 112.16 
353.545 44.94 112.18 
355.05 44.94 112.20 
356.568 44.94 112.23 
358.074 44.94 112.25 
359.572 44.94 112.27 
361.096 44.94 112.30 
362.595 44.94 112.32 
364.118 44.94 112.34 
365.616 44.94 112.37 
367.14 44.94 112.39 
368.64 44.94 112.41 
370.163 44.94 112.44 
371.669 44.94 112.46 
373.182 44.94 112.48 
374.69 44.94 112.51 
376.204 44.94 112.53 
377.713 44.94 112.55 
379.223 44.94 112.58 
380.735 44.88 125.10 
382.249 44.94 112.65 
383.758 44.88 125.17 
385.261 44.88 125.22 
386.779 44.88 125.27 
388.285 44.88 125.31 
389.802 44.94 112.86 
391.305 44.88 125.38 
392.822 44.88 125.43 
394.329 44.88 125.48 
395.841 44.88 125.52 
397.349 44.88 125.57 
398.863 44.88 125.62 
400.369 44.94 113.16 
401.887 44.88 125.69 
403.394 44.88 125.73 
404.911 44.88 125.78 
406.412 44.94 113.33 
407.922 44.88 125.85 
409.438 44.88 125.90 
410.943 44.88 125.95 
412.459 44.88 125.99 
413.965 44.88 126.04 
415.481 44.94 113.59 
416.983 44.88 126.11 
418.503 44.88 126.16 
420.007 44.88 126.20 
421.526 44.88 126.25 
423.03 44.88 126.30 
424.547 44.88 126.34 
426.051 44.88 126.39 
427.57 44.88 126.44 
429.08 44.88 126.48 
430.591 44.88 126.53 
432.095 44.88 126.58 
433.613 44.88 126.62 
435.117 44.88 126.67 
436.625 44.88 126.72 
438.141 44.88 126.77 
439.648 44.88 126.81 
441.164 44.88 126.86 
442.67 44.88 126.91 
444.192 44.88 126.95 
445.691 44.88 127.00 
447.216 44.88 127.05 
448.716 44.88 127.09 
450.234 44.88 127.14 
451.735 44.88 127.19 
453.252 44.88 127.23 
454.759 44.88 127.28 
456.272 44.88 127.33 
457.78 44.88 127.37 
459.285 44.88 127.42 
460.803 44.88 127.47 
462.306 44.88 127.52 
463.824 44.88 127.56 
465.329 44.88 127.61 
466.848 44.88 127.66 
468.351 44.88 127.70 
469.873 44.88 127.75 
471.371 44.88 127.80 
472.896 44.88 127.84 
474.394 44.88 127.89 
475.916 44.88 127.94 
477.425 44.88 127.98 
478.939 44.88 128.03 
480.448 44.88 128.08 
481.95 44.88 128.13 
483.469 44.88 128.17 
484.969 44.88 128.22 
486.493 44.88 128.27 
487.99 44.88 128.31 
489.51 44.88 128.36 
491.012 44.88 128.41 
492.536 44.88 128.45 
494.038 44.88 128.50 
495.559 44.88 128.55 
497.056 44.88 128.59 
498.579 44.88 128.64 
500.083 44.88 128.69 
501.6 44.88 128.73 
503.103 44.88 128.78 
504.619 44.88 128.83 
506.126 44.88 128.88 
507.646 44.88 128.92 
509.154 44.88 128.97 
510.648 44.88 129.02 
512.167 44.88 129.06 
513.671 44.88 129.11 
515.194 44.88 129.16 
516.702 44.88 129.20 
518.218 44.88 129.25 
519.724 44.88 129.30 
521.24 44.88 129.34 
522.746 44.88 129.39 
524.265 44.88 129.44 
525.77 44.88 129.48 
527.287 44.88 129.53 
528.79 44.88 129.58 
530.308 44.88 129.63 
531.813 44.88 129.67 
533.316 44.94 117.22 
534.834 44.88 129.74 
536.338 44.94 117.29 
537.858 44.88 129.81 
539.361 44.94 117.36 
540.877 44.94 117.38 
542.382 44.94 117.41 
543.897 44.94 117.43 
545.405 44.94 117.45 
546.918 44.94 117.48 
548.424 44.94 117.50 
549.942 44.88 130.02 
551.448 44.94 117.57 
552.962 44.94 117.59 
554.468 44.94 117.62 
555.989 44.94 117.64 
557.49 44.94 117.66 
558.998 44.94 117.69 
560.52 44.88 130.21 
562.024 44.94 117.76 
563.539 44.94 117.78 
565.046 44.94 117.80 
566.558 44.88 130.33 
568.062 44.88 130.38 
569.588 44.88 130.42 
571.091 44.94 117.97 
572.605 44.88 130.49 
574.11 44.88 130.54 
575.627 44.94 118.09 
577.131 44.88 130.61 
578.653 44.88 130.66 
580.159 44.88 130.70 
581.675 44.88 130.75 
583.185 44.88 130.80 
584.687 44.88 130.84 
586.206 44.88 130.89 
587.702 44.88 130.94 
589.228 44.88 130.98 
590.724 44.88 131.03 
592.248 44.88 131.08 
593.746 44.88 131.13 
595.27 44.88 131.17 
596.771 44.88 131.22 
598.293 44.88 131.27 
599.791 44.88 131.31 
601.316 44.88 131.36 
602.816 44.88 131.41 
604.338 44.88 131.45 
605.845 44.88 131.50 
607.359 44.88 131.55 
608.867 44.88 131.59 
610.362 44.88 131.64 
611.889 44.88 131.69 
613.393 44.88 131.73 
614.911 44.88 131.78 
616.417 44.88 131.83 
617.934 44.88 131.88 
619.438 44.94 119.42 
620.951 44.94 119.45 
622.461 44.94 119.47 
623.974 44.94 119.49 
625.482 44.94 119.52 
626.998 44.94 119.54 
628.507 44.94 119.56 
630.022 44.94 119.59 
631.528 44.94 119.61 
633.023 44.94 119.63 
634.549 44.94 119.66 
636.055 44.94 119.68 
637.565 44.88 132.20 
639.072 44.94 119.75 
640.587 44.94 119.77 
642.091 44.94 119.80 
643.61 44.94 119.82 
645.115 44.94 119.84 
646.632 44.94 119.87 
648.142 44.94 119.89 
649.663 44.94 119.91 
651.16 44.94 119.94 
652.678 44.94 119.96 
654.185 44.94 119.98 
655.703 44.94 120.01 
657.212 44.94 120.03 
658.73 44.94 120.05 
660.227 44.94 120.08 
661.737 44.94 120.10 
663.257 44.94 120.12 
664.757 44.94 120.15 
666.271 44.94 120.17 
667.781 44.94 120.20 
669.302 44.94 120.22 
670.801 44.94 120.24 
672.321 44.94 120.27 
673.823 44.94 120.29 
675.345 44.94 120.31 
676.846 44.94 120.34 
678.36 44.94 120.36 
679.868 44.94 120.38 
681.386 44.94 120.41 
682.889 44.94 120.43 
684.393 44.94 120.45 
685.91 44.94 120.48 
687.416 44.94 120.50 
688.933 44.94 120.52 
690.444 44.94 120.55 
691.954 44.94 120.57 
693.461 44.94 120.59 
694.984 44.94 120.62 
696.487 44.94 120.64 
698.002 44.94 120.66 
699.512 44.94 120.69 
701.026 44.94 120.71 
702.529 44.94 120.73 
704.044 44.94 120.76 
705.553 44.94 120.78 
707.072 44.94 120.80 
708.577 44.94 120.83 
710.091 45.00 108.35 
711.6 44.94 120.85 
713.099 44.94 120.87 
714.62 44.94 120.90 
716.126 44.94 120.92 
717.645 44.94 120.95 
719.148 44.94 120.97 
720.665 44.94 120.99 
722.168 44.94 121.02 
723.685 44.94 121.04 
725.196 45.00 108.56 
726.712 44.94 121.06 
728.215 44.94 121.09 
729.731 44.94 121.11 
731.236 44.94 121.13 
732.751 44.94 121.16 
734.258 44.94 121.18 
735.76 44.94 121.20 
737.286 44.94 121.23 
738.782 44.94 121.25 
740.304 44.94 121.27 
741.812 44.94 121.30 
743.325 44.94 121.32 
744.833 44.94 121.34 
746.347 44.94 121.37 
747.849 44.94 121.39 
749.366 44.94 121.41 
750.877 44.94 121.44 
752.391 44.94 121.46 
753.9 44.94 121.48 
755.412 44.94 121.51 
756.921 44.94 121.53 
758.442 44.94 121.55 
759.946 44.94 121.58 
761.448 44.94 121.60 
762.967 44.94 121.62 
764.468 44.94 121.65 
765.986 44.94 121.67 
767.491 44.94 121.70 
769.005 44.94 121.72 
770.513 44.94 121.74 
772.037 44.94 121.77 
773.536 44.94 121.79 
775.059 44.94 121.81 
776.557 44.94 121.84 
778.074 44.94 121.86 
779.58 44.94 121.88 
781.094 44.94 121.91 
782.602 44.94 121.93 
784.124 44.94 121.95 
785.625 44.94 121.98 
787.128 44.94 122.00 
788.646 44.94 122.02 
790.15 44.94 122.05 
791.67 44.94 122.07 
793.173 44.94 122.09 
794.69 44.94 122.12 
796.199 44.94 122.14 
797.714 44.94 122.16 
799.219 44.94 122.19 
800.735 44.94 122.21 
802.239 44.94 122.23 
803.763 44.88 134.76 
805.261 44.88 134.80 
806.777 44.94 122.35 
808.282 44.88 134.88 
809.8 44.88 134.92 
811.309 44.88 134.97 
812.812 44.94 122.52 
814.331 44.88 135.04 
815.835 44.94 122.59 
817.35 44.88 135.11 
818.86 44.94 122.66 
820.372 44.94 122.68 
821.878 44.94 122.70 
823.403 44.94 122.73 
824.901 44.94 122.75 
826.424 44.94 122.77 
827.922 44.94 122.80 
829.445 44.94 122.82 
830.947 44.94 122.84 
832.466 44.94 122.87 
833.967 44.94 122.89 
835.472 44.94 122.91 
836.998 44.94 122.94 
838.496 44.94 122.96 
840.011 44.94 122.98 
841.514 44.94 123.01 
843.042 44.94 123.03 
844.546 44.94 123.05 
846.059 44.94 123.08 
847.568 44.94 123.10 
849.084 44.94 123.12 
850.583 44.94 123.15 
852.107 44.94 123.17 
853.61 44.94 123.20 
855.128 44.94 123.22 
856.636 44.94 123.24 
858.145 44.94 123.27 
859.651 44.94 123.29 
861.173 44.94 123.31 
862.681 44.94 123.34 
864.18 44.94 123.36 
865.696 44.94 123.38 
867.204 44.94 123.41 
868.722 44.94 123.43 
870.227 44.94 123.45 
871.744 44.94 123.48 
873.248 44.94 123.50 
874.765 44.94 123.52 
876.272 44.94 123.55 
877.788 44.94 123.57 
879.293 44.94 123.59 
880.811 44.94 123.62 
882.319 44.94 123.64 
883.83 44.94 123.66 
885.336 44.94 123.69 
886.844 44.94 123.71 
888.358 44.94 123.73 
889.867 44.94 123.76 
891.38 44.94 123.78 
892.888 44.94 123.80 
894.402 44.94 123.83 
895.912 44.94 123.85 
897.424 44.94 123.87 
898.933 44.94 123.90 
900.446 44.88 136.42 
901.956 44.94 123.97 
903.467 44.94 123.99 
904.976 44.94 124.02 
906.49 44.88 136.54 
908.001 44.94 124.09 
909.506 44.94 124.11 
911.021 44.94 124.13 
912.52 44.94 124.16 
914.043 44.94 124.18 
915.546 44.94 124.20 
917.065 44.88 136.73 
918.566 44.88 136.77 
920.088 44.88 136.82 
921.591 44.88 136.87 
923.114 44.88 136.91 
924.613 44.94 124.46 
926.134 44.88 136.98 
927.639 44.88 137.03 
929.156 44.88 137.08 
930.659 44.88 137.13 
932.177 44.88 137.17 
933.678 44.94 124.72 
935.198 44.94 124.74 
936.71 44.94 124.77 
938.205 44.94 124.79 
939.733 44.94 124.81 
941.236 44.94 124.84 
